NCK 20130601
-------------------------------------------------------------------------------------------------------------------------
| time  | f-min |  foE  | foEs  | fbEs  | fminF | foF1  | foF2  |  fxI  |  h'E  | h'Es  | tpEs  |  h'F  | h'F2  | M3000 |
| 08:00 |  1.56 |  3.27 |  3.84 |  3.85 |       |  4.42 |  5.17 |       |   90  |  105  |       |  225  |  566  |       |
| 08:30 |  1.59 |  3.34 |  3.84 |  3.84 |       |  4.31 |  4.82 |       |   91  |  105  |       |  194  |  594  |       |
| 09:00 |  1.69 |  3.35 |  3.92 |  3.89 |       |  4.36 |  5.61 |       |   90  |  105  |       |  191  |  525  |       |
| 09:30 |  1.42 |  3.40 |  3.71 |  3.69 |       |  4.45 |       |       |   87  |  109  |       |  181  |       |       |
| 10:00 |  1.89 |  3.50 |  3.71 |  3.68 |       |  4.50 |       |       |   87  |  115  |       |  187  |       |       |
| 10:30 |  1.61 |  3.52 |  3.84 |  3.75 |       |  4.53 |       |       |   87  |  108  |       |  197  |       |       |
| 11:00 |  1.58 |  3.57 |  4.26 |  4.26 |       |  4.53 |       |       |   85  |  103  |       |  241  |  487  |       |
| 11:30 |  1.85 |  3.54 |  3.82 |  3.74 |       |  4.60 |       |       |   93  |  109  |       |  190  |       |       |
| 12:00 |  2.12 |  3.55 |  3.78 |  3.78 |       |  4.56 |       |       |   91  |  108  |       |  187  |       |       |
| 12:30 |  1.76 |  3.47 |  3.91 |  3.89 |       |  4.59 |  5.24 |       |   91  |  112  |       |  238  |  440  |       |
| 13:00 |  2.02 |  3.40 |  3.62 |  3.67 |       |  4.59 |       |       |   90  |  117  |       |  211  |       |       |
| 13:30 |  1.52 |  3.33 |  3.61 |  3.60 |       |  4.55 |       |       |   91  |  108  |       |  205  |       |       |
| 14:00 |  1.39 |  3.23 |  3.47 |  3.47 |       |  4.52 |  4.99 |       |   90  |  105  |       |  214  |  513  |       |
| 14:30 |  1.49 |  3.03 |  4.22 |  4.15 |       |  4.42 |  5.10 |       |   90  |  100  |       |       |  489  |       |
| 15:00 |  1.41 |  2.69 |  3.71 |  3.57 |       |  4.36 |  5.20 |       |   91  |   97  |       |  232  |  420  |       |
| 15:30 |  1.53 |  2.63 |  3.10 |  3.11 |       |  4.36 |  5.24 |       |   94  |  100  |       |  222  |  468  |       |
| 16:00 |  1.36 |  2.83 |  3.13 |  3.14 |       |  4.16 |  5.26 |       |   94  |  117  |       |  234  |  392  |       |
| 16:30 |  1.38 |  2.66 |  3.21 |  3.21 |       |  4.04 |  5.39 |       |   96  |  112  |       |  231  |  389  |       |
| 17:00 |  1.39 |  2.40 |  2.96 |  3.01 |       |  3.75 |  5.39 |       |  100  |  109  |       |  250  |  348  |       |
| 17:30 |  1.59 |  2.12 |  2.97 |  2.84 |       |  3.40 |  5.58 |       |  106  |  108  |       |  264  |  285  |       |
| 18:00 |  1.61 |       |  3.35 |  3.38 |       |       |  5.09 |       |       |  103  |       |  279  |       |       |
| 18:30 |  1.62 |       |  2.76 |  2.76 |       |       |  5.00 |       |       |  103  |       |  270  |       |       |
| 19:00 |  1.68 |       |  3.15 |  3.18 |       |       |  5.00 |       |       |  111  |       |  305  |       |       |
| 19:30 |  1.61 |       |       |       |       |       |  5.02 |       |       |       |       |  272  |       |       |
| 20:00 |  1.66 |       |       |       |       |       |  5.24 |       |       |       |       |  276  |       |       |
| 20:30 |  1.56 |       |  1.95 |  1.99 |       |       |  5.39 |       |       |  106  |       |  293  |       |       |
| 21:00 |  1.59 |       |  3.34 |  3.41 |       |       |  5.46 |       |       |  103  |       |  340  |       |       |
| 21:30 |  1.55 |       |  2.79 |  1.90 |       |       |  5.20 |       |       |  106  |       |  316  |       |       |
| 22:00 |  1.69 |       |  1.96 |  1.90 |       |       |  5.10 |       |       |  105  |       |  326  |       |       |
| 22:30 |  1.45 |       |  1.86 |  1.92 |       |       |  4.92 |       |       |  105  |       |  316  |       |       |
| 23:00 |  1.61 |       |  3.78 |  3.06 |       |       |  4.76 |       |       |   99  |       |  386  |       |       |
| 23:30 |  1.66 |       |  2.80 |  2.60 |       |       |  4.56 |       |       |   99  |       |  363  |       |       |
=========================================================================================================================
