NCK 20130601
-------------------------------------------------------------------------------------------------------------------------
| time  | f-min |  foE  | foEs  | fbEs  | fminF | foF1  | foF2  |  fxI  |  h'E  | h'Es  | tpEs  |  h'F  | h'F2  | M3000 |
-------------------------------------------------------------------------------------------------------------------------
| 00:00 |  1.66 |       |       |       |       |       |  6.27 |       |       |       |       |  284  |       |       |
| 00:30 |  1.62 |       |       |       |       |       |  5.98 |       |       |       |       |  293  |       |       |
| 01:00 |  1.62 |       |       |       |       |       |  5.61 |       |       |       |       |  301  |       |       |
| 01:30 |  1.59 |       |  2.22 |  1.79 |       |       |  5.91 |       |       |   93  |       |  304  |       |       |
| 02:00 |  1.59 |       |       |       |       |       |  5.91 |       |       |       |       |  261  |       |       |
| 02:30 |  1.59 |       |       |       |       |       |  5.39 |       |       |       |       |  267  |       |       |
| 03:00 |  1.59 |       |       |       |       |  2.63 |  4.97 |       |       |       |       |  264  |  329  |       |
| 03:30 |  1.61 |  1.86 |       |       |       |  3.07 |  4.96 |       |  121  |       |       |  255  |  323  |       |
| 04:00 |  1.55 |  1.95 |  2.29 |  2.26 |       |  3.64 |  4.96 |       |  108  |  117  |       |  243  |  445  |       |
| 04:30 |  1.44 |  2.13 |  2.49 |  2.47 |       |  3.78 |  5.33 |       |   99  |  120  |       |  232  |  413  |       |
| 05:00 |  1.39 |  2.43 |  2.94 |  2.81 |       |  4.40 |  5.95 |       |   93  |  111  |       |  223  |  407  |       |
| 05:30 |  1.39 |  2.66 |  3.21 |  3.21 |       |  4.08 |  5.64 |       |   90  |  106  |       |  214  |  332  |       |
| 06:00 |  1.38 |  2.84 |  3.47 |  3.41 |       |  4.13 |  5.19 |       |   91  |  106  |       |  222  |  449  |       |
| 06:30 |  1.55 |  3.01 |  3.58 |  3.45 |       |  4.25 |  5.02 |       |   91  |  106  |       |  225  |  559  |       |
| 07:00 |  1.45 |  3.10 |  3.68 |  3.68 |       |  4.16 |  5.02 |       |   91  |  105  |       |  261  |  527  |       |
| 07:30 |  1.48 |  3.21 |  3.96 |  3.95 |       |  4.29 |  5.39 |       |   90  |  105  |       |  258  |  463  |       |
