NCK 20130602
-------------------------------------------------------------------------------------------------------------------------
| time  | f-min |  foE  | foEs  | fbEs  | fminF | foF1  | foF2  |  fxI  |  h'E  | h'Es  | tpEs  |  h'F  | h'F2  | M3000 |
-------------------------------------------------------------------------------------------------------------------------
| 00:00 |  1.59 |       |  2.98 |  1.93 |       |       |  4.49 |       |       |   93  |       |  325  |       |       |
| 00:30 |  1.63 |       |       |       |       |       |  4.42 |       |       |       |       |  322  |       |       |
| 01:00 |  1.59 |       |  4.01 |  2.94 |       |       |  4.79 |       |       |   94  |       |  335  |       |       |
| 01:30 |  1.56 |       |  2.90 |  2.42 |       |       |  4.63 |       |       |   93  |       |  328  |       |       |
| 02:00 |  1.51 |       |  2.94 |  2.13 |       |       |  4.18 |       |       |   93  |       |  307  |       |       |
| 02:30 |  1.51 |       |  3.17 |  2.80 |       |       |  3.72 |       |       |   93  |       |  354  |       |       |
| 03:00 |  1.55 |       |  1.71 |  1.58 |       |  2.53 |  3.82 |       |       |  102  |       |  276  |  369  |       |
| 03:30 |  1.61 |  1.78 |  2.09 |  2.23 |       |  3.21 |  4.06 |       |  118  |  114  |       |  272  |  387  |       |
| 04:00 |  1.53 |  2.00 |  3.47 |  3.44 |       |       |  4.45 |       |  103  |  108  |       |       |  361  |       |
| 04:30 |  1.42 |  2.23 |  4.49 |  4.62 |       |       |  5.68 |       |   94  |  105  |       |       |  395  |       |
| 05:00 |  1.38 |  2.56 |  5.53 |  2.84 |       |  4.33 |  6.31 |       |   93  |  108  |       |  209  |  272  |       |
| 05:30 |  1.39 |  2.74 |  3.40 |  3.15 |       |  3.89 |  6.56 |       |   96  |  112  |       |  203  |  243  |       |
| 06:00 |  1.39 |  2.88 |  4.67 |  4.36 |       |  4.75 |  7.49 |       |   93  |  105  |       |       |  287  |       |
| 06:30 |  1.39 |  3.04 |  4.67 |  4.23 |       |  4.63 |  7.94 |       |   91  |  108  |       |  267  |  299  |       |
| 07:00 |  1.36 |  3.20 |  3.81 |  3.72 |       |  4.73 |  8.38 |       |   90  |  109  |       |  216  |  261  |       |
| 07:30 |  1.38 |  3.30 |  4.01 |  4.01 |       |  4.80 |  8.60 |       |   88  |  114  |       |  220  |  272  |       |
| 08:00 |  1.55 |  3.38 |  4.42 |  3.96 |       |  5.00 |  7.56 |       |   90  |  114  |       |  202  |  287  |       |
| 08:30 |  1.52 |  3.50 |  5.40 |  3.88 |       |  4.94 |  7.60 |       |   87  |  105  |       |  182  |  328  |       |
| 09:00 |  1.42 |  3.57 |  3.85 |  3.87 |       |  5.09 |  8.09 |       |   87  |  120  |       |  176  |  319  |       |
| 09:30 |  1.83 |  3.55 |  3.85 |  3.77 |       |  5.09 |  8.34 |       |   87  |  132  |       |  200  |  302  |       |
