NCK 20130602
-------------------------------------------------------------------------------------------------------------------------
| time  | f-min |  foE  | foEs  | fbEs  | fminF | foF1  | foF2  |  fxI  |  h'E  | h'Es  | tpEs  |  h'F  | h'F2  | M3000 |
| 10:00 |  1.58 |  3.55 |  5.07 |  5.09 |       |       |  7.94 |       |   88  |  106  |       |       |  310  |       |
| 10:30 |  1.89 |  3.64 |  4.01 |  3.99 |       |  5.03 |  8.37 |       |   90  |  118  |       |  194  |  322  |       |
| 11:00 |  1.82 |  3.65 |  3.89 |  3.89 |       |  5.09 |  8.36 |       |   90  |  121  |       |  184  |  308  |       |
| 11:30 |  1.79 |  3.61 |  5.19 |  5.19 |       |       |  8.27 |       |   90  |  108  |       |       |  302  |       |
| 12:00 |  1.68 |  3.60 |  5.30 |  5.26 |       |       |  8.61 |       |   83  |  106  |       |       |  325  |       |
| 12:30 |  1.55 |  3.52 |  5.34 |  4.40 |       |  4.94 |  8.72 |       |   87  |  106  |       |  255  |  282  |       |
| 13:00 |  1.69 |  3.57 |       |       |       |  4.93 |  8.38 |       |   88  |       |       |  185  |  269  |       |
| 13:30 |  1.48 |  3.35 |       |       |       |  5.33 |  7.83 |       |   87  |       |       |  187  |  302  |       |
| 14:00 |  1.95 |  3.37 |       |       |       |  4.86 |  7.83 |       |   96  |       |       |  196  |  304  |       |
| 14:30 |  1.66 |  3.30 |  3.98 |  3.99 |       |  5.06 |  7.39 |       |   96  |  173  |       |  243  |  307  |       |
| 15:00 |  1.42 |  3.10 |  3.71 |  3.69 |       |  4.55 |  7.09 |       |   93  |  131  |       |  226  |  304  |       |
| 15:30 |  1.39 |  3.00 |  3.41 |  3.44 |       |  4.79 |  7.45 |       |   91  |  138  |       |  223  |  310  |       |
| 16:00 |  1.39 |  2.81 |  4.43 |  4.58 |       |       |  8.26 |       |   94  |  111  |       |       |  298  |       |
| 16:30 |  1.49 |  2.64 |  3.71 |  3.33 |       |  4.09 |  9.15 |       |   97  |  109  |       |  234  |  276  |       |
| 17:00 |  1.51 |  2.33 |  4.13 |  3.95 |       |       |  9.28 |       |  100  |  103  |       |       |  250  |       |
| 17:30 |  1.55 |  1.95 |  5.21 |  5.20 |       |       |  8.63 |       |  103  |  100  |       |       |  250  |       |
| 18:00 |  1.63 |       |  7.18 |       |       |       |       |       |       |  102  |       |       |       |       |
| 18:30 |  1.62 |       |  7.03 |  5.48 |       |       |  8.61 |       |       |  100  |       |  244  |       |       |
| 19:00 |  1.61 |       |  4.43 |  4.39 |       |       |  8.00 |       |       |   99  |       |  249  |       |       |
| 19:30 |  1.75 |       |  3.64 |  3.65 |       |       |  7.94 |       |       |   97  |       |  250  |       |       |
| 20:00 |  1.58 |       |  3.52 |  3.44 |       |       |  7.83 |       |       |   94  |       |  252  |       |       |
| 20:30 |  1.58 |       |  3.54 |  2.98 |       |       |  7.29 |       |       |   90  |       |  240  |       |       |
| 21:00 |  1.62 |       |  3.38 |  3.06 |       |       |  7.02 |       |       |   90  |       |  247  |       |       |
| 21:30 |  1.61 |       |  2.94 |  2.93 |       |       |  6.51 |       |       |   90  |       |  264  |       |       |
| 22:00 |  1.62 |       |       |       |       |       |  6.18 |       |       |       |       |  246  |       |       |
| 22:30 |  1.69 |       |       |       |       |       |  6.10 |       |       |       |       |  264  |       |       |
| 23:00 |  1.69 |       |       |       |       |       |  5.70 |       |       |       |       |  255  |       |       |
| 23:30 |  1.56 |       |  2.10 |  2.03 |       |       |  5.67 |       |       |   96  |       |  294  |       |       |
=========================================================================================================================
